                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     74,                0.06404,                0.17675,                 1.0072,                      1,                      1,                  0.995,                0.95898,                0.08991,                0.19895,                0.88155,             0.00026286,             0.00026286,             0.00026286
                     75,                0.06273,                0.17075,                0.99936,                      1,                      1,                  0.995,                0.94188,                0.10791,                 0.2167,                0.89587,             0.00025768,             0.00025768,             0.00025768
                     76,                0.06062,                0.17093,                0.99433,                      1,                      1,                  0.995,                0.95595,                0.09086,                0.20483,                0.87337,              0.0002525,              0.0002525,              0.0002525
                     77,                0.06102,                0.17326,                0.99093,                0.99896,                      1,                  0.995,                0.94559,                 0.1016,                0.20924,                0.89272,             0.00024732,             0.00024732,             0.00024732
                     78,                0.06308,                0.17211,                0.99498,                      1,                      1,                  0.995,                0.97132,                0.07589,                0.20131,                0.86232,             0.00024214,             0.00024214,             0.00024214
                     79,                0.06155,                0.17011,                0.98545,                      1,                      1,                  0.995,                0.93982,                0.12902,                0.20359,                   0.92,             0.00023696,             0.00023696,             0.00023696
                     80,                0.06475,                0.17212,                0.98986,                      1,                      1,                  0.995,                0.95617,                0.10668,                0.20825,                0.89141,             0.00023179,             0.00023179,             0.00023179
                     81,                0.05998,                0.16569,                0.98663,                      1,                      1,                  0.995,                0.95454,                0.09132,                0.19285,                0.87971,             0.00022663,             0.00022663,             0.00022663
                     82,                0.06069,                0.16329,                 0.9866,                      1,                      1,                  0.995,                0.94075,                 0.1094,                  0.202,                0.88719,             0.00022148,             0.00022148,             0.00022148
                     83,                0.06247,                0.16891,                0.98872,                      1,                      1,                  0.995,                0.94709,                0.10234,                0.20474,                0.89192,             0.00021634,             0.00021634,             0.00021634
                     84,                0.06019,                0.16266,                0.98193,                      1,                      1,                  0.995,                0.95526,                0.08702,                0.20229,                0.87063,             0.00021122,             0.00021122,             0.00021122
                     85,                0.06351,                0.16547,                0.99225,                      1,                      1,                  0.995,                0.96589,                0.08711,                 0.2159,                0.88609,             0.00020612,             0.00020612,             0.00020612
                     86,                0.06039,                0.15955,                0.98259,                      1,                      1,                  0.995,                0.96002,                0.09233,                0.20157,                0.88625,             0.00020104,             0.00020104,             0.00020104
                     87,                 0.0628,                0.16113,                0.97821,                      1,                      1,                  0.995,                0.94691,                0.10845,                 0.2009,                0.88896,             0.00019598,             0.00019598,             0.00019598
                     88,                0.06283,                0.15955,                0.98071,                      1,                      1,                  0.995,                0.95326,                0.10173,                 0.2144,                0.88225,             0.00019095,             0.00019095,             0.00019095
                     89,                0.05975,                 0.1597,                0.97503,                      1,                      1,                  0.995,                0.95903,                0.09129,                0.20879,                0.87515,             0.00018594,             0.00018594,             0.00018594
                     90,                0.06041,                0.15453,                0.97431,                      1,                      1,                  0.995,                0.95132,                0.10771,                0.22059,                0.88697,             0.00018096,             0.00018096,             0.00018096
                     91,                0.05934,                0.15474,                0.97116,                      1,                      1,                  0.995,                0.92465,                0.14841,                0.21314,                0.91493,             0.00017602,             0.00017602,             0.00017602
                     92,                0.05752,                0.15417,                0.96158,                      1,                      1,                  0.995,                  0.961,                0.10635,                0.19204,                0.87307,             0.00017111,             0.00017111,             0.00017111
                     93,                0.05938,                0.15343,                0.96863,                 0.9988,                      1,                  0.995,                0.93892,                0.12681,                0.18956,                0.88562,             0.00016623,             0.00016623,             0.00016623
                     94,                0.05965,                0.15446,                0.96441,                      1,                      1,                  0.995,                0.95086,                0.11123,                0.18985,                0.87119,             0.00016139,             0.00016139,             0.00016139
                     95,                0.05874,                0.14883,                0.96342,                      1,                      1,                  0.995,                0.95724,                0.10944,                0.19695,                0.88571,             0.00015659,             0.00015659,             0.00015659
                     96,                 0.0607,                0.15094,                0.96808,                      1,                      1,                  0.995,                0.97416,                0.08757,                0.19019,                0.85938,             0.00015183,             0.00015183,             0.00015183
                     97,                0.05929,                0.15036,                0.96151,                      1,                      1,                  0.995,                0.97402,                0.08886,                0.18414,                0.85943,             0.00014712,             0.00014712,             0.00014712
                     98,                0.05878,                0.14788,                0.96278,                      1,                      1,                  0.995,                0.96731,                0.11303,                0.19077,                0.87528,             0.00014245,             0.00014245,             0.00014245
                     99,                0.06126,                0.14751,                0.96567,                      1,                      1,                  0.995,                0.97288,                0.09278,                0.18286,                0.84788,             0.00013783,             0.00013783,             0.00013783
                    100,                0.05928,                0.14838,                0.95707,                      1,                      1,                  0.995,                0.97374,                0.09346,                0.18309,                0.85031,             0.00013327,             0.00013327,             0.00013327
                    101,                0.05911,                0.14573,                0.95626,                      1,                      1,                  0.995,                0.97168,                0.09541,                0.17681,                0.84607,             0.00012875,             0.00012875,             0.00012875
                    102,                0.05753,                0.14364,                0.95482,                      1,                      1,                  0.995,                0.97151,                0.10116,                0.18759,                  0.849,             0.00012429,             0.00012429,             0.00012429
                    103,                 0.0603,                0.14485,                0.95948,                      1,                      1,                  0.995,                0.95476,                0.11342,                 0.1887,                0.85574,             0.00011988,             0.00011988,             0.00011988
                    104,                0.05628,                 0.1391,                0.95255,                      1,                      1,                  0.995,                0.96241,                 0.1092,                0.18536,                0.85361,             0.00011554,             0.00011554,             0.00011554
                    105,                0.05892,                0.14372,                0.95149,                      1,                      1,                  0.995,                0.96705,                0.10342,                0.18557,                0.85759,             0.00011125,             0.00011125,             0.00011125
                    106,                0.05878,                0.14223,                0.95073,                      1,                      1,                  0.995,                0.97357,                0.09922,                0.18589,                0.85896,             0.00010702,             0.00010702,             0.00010702
