                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    101,                0.53189,                0.25859,                0.78281,                0.99966,                0.99991,                  0.995,                 0.8974,                  0.524,                0.26807,                0.74153,             0.00035053,             0.00035053,             0.00035053
                    102,                0.55877,                0.26351,                0.78253,                0.99966,                0.99992,                  0.995,                0.89712,                0.52307,                0.26689,                0.74143,             0.00034788,             0.00034788,             0.00034788
                    103,                0.54732,                0.25952,                0.78298,                0.99966,                0.99995,                  0.995,                0.89738,                0.52322,                 0.2668,                0.74139,             0.00034522,             0.00034522,             0.00034522
                    104,                0.52254,                0.25439,                0.78115,                0.99961,                      1,                  0.995,                0.89768,                0.52304,                 0.2668,                0.74122,             0.00034254,             0.00034254,             0.00034254
                    105,                0.53968,                0.25817,                0.78012,                0.99957,                      1,                  0.995,                0.89788,                0.52187,                0.26579,                0.74109,             0.00033985,             0.00033985,             0.00033985
                    106,                0.52965,                0.25778,                 0.7806,                0.99957,                      1,                  0.995,                0.89834,                0.52121,                0.26505,                0.74096,             0.00033715,             0.00033715,             0.00033715
                    107,                0.52737,                0.25572,                0.78078,                0.99956,                      1,                  0.995,                0.89832,                0.52012,                0.26471,                0.74088,             0.00033444,             0.00033444,             0.00033444
                    108,                 0.5117,                0.25129,                0.77875,                0.99955,                      1,                  0.995,                 0.8984,                0.51908,                0.26385,                0.74079,             0.00033172,             0.00033172,             0.00033172
                    109,                0.51849,                0.25243,                0.77931,                0.99955,                      1,                  0.995,                0.89879,                0.51813,                0.26306,                0.74066,             0.00032898,             0.00032898,             0.00032898
                    110,                0.53345,                0.25472,                 0.7797,                0.99955,                      1,                  0.995,                0.89904,                0.51734,                0.26274,                0.74057,             0.00032624,             0.00032624,             0.00032624
                    111,                0.52973,                0.25226,                 0.7796,                0.99954,                      1,                  0.995,                0.89939,                0.51541,                0.26208,                0.74051,             0.00032348,             0.00032348,             0.00032348
                    112,                0.51129,                0.25106,                  0.781,                0.99954,                      1,                  0.995,                0.89985,                0.51488,                0.26221,                0.74033,             0.00032072,             0.00032072,             0.00032072
                    113,                 0.5262,                0.25355,                0.78015,                0.99953,                      1,                  0.995,                0.90038,                0.51256,                0.26098,                0.74026,             0.00031795,             0.00031795,             0.00031795
                    114,                0.51125,                0.24682,                0.77947,                0.99952,                      1,                  0.995,                0.90041,                0.51359,                0.26137,                0.74024,             0.00031517,             0.00031517,             0.00031517
                    115,                0.51713,                0.24713,                0.77816,                0.99952,                      1,                  0.995,                0.90102,                0.51274,                0.26126,                0.74005,             0.00031238,             0.00031238,             0.00031238
                    116,                 0.5144,                 0.2468,                0.77984,                0.99951,                      1,                  0.995,                0.90103,                0.51153,                0.26091,                0.73999,             0.00030958,             0.00030958,             0.00030958
                    117,                0.49734,                0.24379,                0.77916,                 0.9995,                      1,                  0.995,                0.90136,                0.51036,                0.26054,                0.73985,             0.00030677,             0.00030677,             0.00030677
                    118,                0.50718,                0.24482,                0.77829,                 0.9995,                      1,                  0.995,                0.90184,                0.50987,                0.25979,                0.73987,             0.00030396,             0.00030396,             0.00030396
                    119,                0.50236,                0.24256,                0.77741,                0.99949,                      1,                  0.995,                0.90172,                0.50889,                0.25892,                0.73976,             0.00030114,             0.00030114,             0.00030114
                    120,                0.49734,                0.24135,                0.77797,                0.99948,                      1,                  0.995,                 0.9017,                0.50866,                0.25846,                0.73968,             0.00029831,             0.00029831,             0.00029831
                    121,                0.50479,                0.24282,                0.77738,                0.99949,                      1,                  0.995,                0.90176,                0.50763,                0.25766,                0.73962,             0.00029548,             0.00029548,             0.00029548
                    122,                0.49113,                0.24061,                 0.7776,                0.99948,                      1,                  0.995,                0.90224,                0.50735,                0.25761,                0.73956,             0.00029264,             0.00029264,             0.00029264
                    123,                0.49614,                0.23884,                 0.7774,                0.99949,                      1,                  0.995,                0.90274,                0.50682,                0.25719,                0.73942,             0.00028979,             0.00028979,             0.00028979
                    124,                0.48839,                0.23813,                0.77907,                0.99949,                      1,                  0.995,                0.90326,                0.50625,                0.25698,                0.73938,             0.00028695,             0.00028695,             0.00028695
                    125,                0.48447,                0.23682,                0.77761,                 0.9995,                      1,                  0.995,                0.90351,                0.50478,                0.25645,                0.73929,             0.00028409,             0.00028409,             0.00028409
