                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     87,                0.54998,                0.31943,                 1.0056,                 0.9675,                 0.9759,                0.98339,                 0.8864,                0.44681,                0.25864,                0.91897,             0.00030649,             0.00030649,             0.00030649
                     88,                0.55251,                0.32186,                  1.003,                0.96588,                0.97649,                 0.9834,                0.88762,                0.44672,                0.25757,                0.91852,             0.00030269,             0.00030269,             0.00030269
                     89,                0.54881,                0.31839,                 1.0001,                0.96476,                0.97679,                0.98342,                  0.887,                0.44618,                0.25702,                0.91774,             0.00029888,             0.00029888,             0.00029888
                     90,                0.54406,                0.31669,                 1.0002,                0.96462,                0.97711,                 0.9835,                0.88744,                0.44552,                0.25649,                0.91707,             0.00029505,             0.00029505,             0.00029505
                     91,                0.54199,                0.31635,                0.99523,                0.96497,                0.97707,                0.98351,                0.88709,                0.44539,                0.25546,                0.91642,             0.00029122,             0.00029122,             0.00029122
                     92,                0.53427,                0.31248,                 0.9927,                0.96522,                0.97737,                0.98361,                0.89106,                0.44515,                0.25481,                0.91563,             0.00028737,             0.00028737,             0.00028737
                     93,                 0.5324,                0.31131,                0.99086,                 0.9654,                0.97752,                0.98362,                0.89116,                0.44462,                0.25424,                0.91489,             0.00028352,             0.00028352,             0.00028352
                     94,                0.53533,                0.31117,                0.99036,                 0.9721,                0.97637,                0.98888,                0.89424,                0.44357,                0.25336,                0.91403,             0.00027966,             0.00027966,             0.00027966
                     95,                0.53197,                0.30879,                0.98965,                0.97342,                0.97684,                0.98889,                0.89461,                0.44265,                0.25291,                0.91322,             0.00027579,             0.00027579,             0.00027579
                     96,                0.53398,                0.30927,                0.98839,                0.97793,                0.97704,                0.98889,                0.89471,                0.44188,                0.25308,                0.91255,             0.00027192,             0.00027192,             0.00027192
                     97,                0.52802,                 0.3046,                0.98581,                0.98031,                0.97737,                  0.989,                0.89752,                0.44105,                0.25285,                0.91178,             0.00026804,             0.00026804,             0.00026804
                     98,                0.52646,                 0.3031,                0.98239,                0.98064,                0.97788,                 0.9889,                 0.8975,                 0.4403,                0.25243,                0.91109,             0.00026416,             0.00026416,             0.00026416
                     99,                0.52336,                0.30436,                0.98422,                0.98122,                0.97794,                0.98894,                0.89971,                0.43959,                0.25177,                0.91048,             0.00026027,             0.00026027,             0.00026027
                    100,                0.52414,                0.30341,                0.98117,                 0.9818,                0.97797,                0.98912,                0.90033,                0.43885,                0.25102,                0.90975,             0.00025639,             0.00025639,             0.00025639
                    101,                  0.516,                0.30082,                0.98093,                0.98343,                 0.9777,                0.98943,                0.89999,                 0.4381,                0.25026,                0.90908,              0.0002525,              0.0002525,              0.0002525
                    102,                0.51433,                0.29743,                0.97815,                0.98432,                0.97785,                0.98945,                0.90079,                0.43761,                0.24929,                0.90838,             0.00024861,             0.00024861,             0.00024861
                    103,                0.51503,                0.29906,                 0.9775,                0.98508,                0.97795,                0.98948,                0.90084,                0.43685,                0.24857,                0.90754,             0.00024473,             0.00024473,             0.00024473
                    104,                0.51202,                0.29811,                0.97895,                0.98614,                0.97795,                0.98953,                0.90155,                 0.4362,                0.24771,                0.90705,             0.00024084,             0.00024084,             0.00024084
