                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     51,                0.13654,                0.04335,                 0.0343,                0.18289,                 1.2175,                0.99975,                      1,                  0.995,                0.94073,                0.99975,                      1,                  0.995,                0.99446,                0.18787,                0.04364,                0.00052,                0.19467,                 1.1513,             9.2186e-05,             9.2186e-05,             9.2186e-05
                     52,                0.13712,                0.04154,                0.03913,                0.18151,                 1.2105,                      1,                      1,                  0.995,                0.94222,                      1,                      1,                  0.995,                0.99449,                0.18544,                0.04316,                0.00029,                0.19448,                 1.1448,             9.1879e-05,             9.1879e-05,             9.1879e-05
                     53,                0.14585,                0.04304,                0.03583,                0.18318,                 1.2217,                      1,                      1,                  0.995,                  0.945,                      1,                      1,                  0.995,                0.99454,                0.17905,                0.04431,                0.00023,                0.19164,                 1.1421,             9.1568e-05,             9.1568e-05,             9.1568e-05
                     54,                0.13994,                0.04266,                0.03785,                0.17979,                   1.22,                      1,                      1,                  0.995,                0.94783,                      1,                      1,                  0.995,                 0.9945,                0.17962,                0.04398,                0.00019,                0.19058,                 1.1414,             9.1251e-05,             9.1251e-05,             9.1251e-05
                     55,                0.15067,                0.04336,                0.03821,                0.18319,                  1.223,                0.99984,                      1,                  0.995,                0.94447,                0.99984,                      1,                  0.995,                 0.9945,                0.18875,                0.04381,                0.00016,                0.19113,                 1.1448,             9.0928e-05,             9.0928e-05,             9.0928e-05
                     56,                0.14188,                0.04305,                0.04223,                0.17946,                 1.2088,                      1,                      1,                  0.995,                0.94186,                      1,                      1,                  0.995,                0.99443,                0.19125,                0.04319,                0.00027,                 0.1919,                 1.1448,             9.0601e-05,             9.0601e-05,             9.0601e-05
                     57,                0.14764,                0.04294,                0.03909,                0.18126,                 1.2185,                0.99982,                      1,                  0.995,                0.93507,                0.99982,                      1,                  0.995,                0.99468,                0.21865,                0.04314,                0.00037,                0.19968,                  1.156,             9.0268e-05,             9.0268e-05,             9.0268e-05
                     58,                0.15044,                0.04141,                0.03476,                0.17903,                 1.2179,                0.99958,                      1,                  0.995,                0.94445,                0.99958,                      1,                  0.995,                0.99447,                0.20702,                 0.0433,                0.00037,                 0.1951,                 1.1514,             8.9931e-05,             8.9931e-05,             8.9931e-05
                     59,                 0.1567,                0.04094,                0.03865,                0.18311,                 1.2158,                0.99855,                      1,                  0.995,                0.94374,                0.99855,                      1,                  0.995,                0.99442,                0.20503,                 0.0436,                0.00032,                0.19649,                 1.1505,             8.9588e-05,             8.9588e-05,             8.9588e-05
                     60,                0.15877,                0.04312,                 0.0382,                0.18164,                 1.2168,                0.99897,                      1,                  0.995,                  0.942,                0.99897,                      1,                  0.995,                0.99444,                 0.2045,                0.04292,                0.00033,                0.19275,                 1.1494,              8.924e-05,              8.924e-05,              8.924e-05
                     61,                0.15212,                0.03763,                0.03177,                0.17831,                 1.2134,                0.99947,                      1,                  0.995,                0.94748,                0.99947,                      1,                  0.995,                0.99455,                0.20067,                 0.0426,                0.00037,                0.19086,                  1.145,             8.8887e-05,             8.8887e-05,             8.8887e-05
                     62,                0.15679,                0.04153,                0.03931,                0.17933,                 1.2069,                0.99964,                      1,                  0.995,                0.94215,                0.99964,                      1,                  0.995,                0.99458,                0.21559,                0.04269,                 0.0004,                0.19434,                 1.1493,             8.8529e-05,             8.8529e-05,             8.8529e-05
                     63,                0.15908,                0.04035,                0.03219,                0.17894,                 1.2097,                0.99966,                      1,                  0.995,                0.94627,                0.99966,                      1,                  0.995,                0.99454,                0.20394,                0.04288,                0.00041,                0.18974,                 1.1431,             8.8167e-05,             8.8167e-05,             8.8167e-05
                     64,                0.15516,                0.04137,                0.03366,                0.17677,                 1.2152,                0.99972,                      1,                  0.995,                0.95089,                0.99972,                      1,                  0.995,                0.99457,                0.20043,                 0.0428,                0.00042,                0.18894,                 1.1404,             8.7799e-05,             8.7799e-05,             8.7799e-05
                     65,                0.16432,                0.04139,                0.03462,                   0.18,                 1.2101,                0.99964,                      1,                  0.995,                0.95079,                0.99964,                      1,                  0.995,                 0.9945,                0.19789,                0.04261,                0.00042,                0.18887,                 1.1382,             8.7427e-05,             8.7427e-05,             8.7427e-05
                     66,                0.16526,                0.04327,                0.03565,                0.17859,                 1.2128,                 0.9995,                      1,                  0.995,                0.94956,                 0.9995,                      1,                  0.995,                0.99454,                0.20782,                0.04249,                 0.0004,                0.18921,                 1.1405,              8.705e-05,              8.705e-05,              8.705e-05
                     67,                0.16254,                0.04164,                0.03209,                0.17744,                  1.206,                0.99944,                      1,                  0.995,                 0.9509,                0.99944,                      1,                  0.995,                0.99453,                0.20731,                0.04221,                0.00038,                0.18794,                 1.1387,             8.6669e-05,             8.6669e-05,             8.6669e-05
                     68,                0.16842,                0.04252,                0.03686,                0.17887,                 1.2047,                0.99961,                      1,                  0.995,                0.95327,                0.99961,                      1,                  0.995,                0.99452,                0.20286,                0.04215,                0.00038,                0.18498,                 1.1348,             8.6282e-05,             8.6282e-05,             8.6282e-05
                     69,                0.17241,                0.04471,                0.03986,                0.17937,                 1.2107,                0.99948,                      1,                  0.995,                0.95237,                0.99948,                      1,                  0.995,                0.99453,                0.21036,                0.04186,                0.00035,                0.18647,                 1.1355,             8.5892e-05,             8.5892e-05,             8.5892e-05
                     70,                0.16831,                0.04074,                0.03822,                0.17652,                  1.202,                 0.9994,                      1,                  0.995,                0.95136,                 0.9994,                      1,                  0.995,                0.99454,                0.21376,                0.04158,                0.00039,                0.18702,                 1.1354,             8.5496e-05,             8.5496e-05,             8.5496e-05
                     71,                0.16948,                0.03925,                0.03481,                0.17656,                 1.2072,                0.99942,                      1,                  0.995,                0.95159,                0.99942,                      1,                  0.995,                 0.9947,                0.22002,                0.04132,                0.00039,                0.18787,                  1.137,             8.5096e-05,             8.5096e-05,             8.5096e-05
                     72,                 0.1776,                0.03819,                0.03627,                 0.1767,                 1.2093,                0.99949,                      1,                  0.995,                0.95019,                0.99949,                      1,                  0.995,                0.99468,                0.22394,                0.04141,                 0.0004,                0.18672,                 1.1374,             8.4692e-05,             8.4692e-05,             8.4692e-05
                     73,                0.17609,                0.04095,                0.03366,                0.17683,                 1.2143,                0.99951,                      1,                  0.995,                0.95189,                0.99951,                      1,                  0.995,                0.99449,                0.22511,                0.04144,                0.00038,                0.18655,                 1.1366,             8.4284e-05,             8.4284e-05,             8.4284e-05
