                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     72,                0.56266,                 1.2827,                0.33792,                0.94472,                0.97509,                0.98711,                0.98962,                0.89372,                0.97154,                0.98347,                 0.9872,                0.78418,                0.45306,                 1.0061,                0.26936,                0.86979,             0.00036138,             0.00036138,             0.00036138
                     73,                0.56551,                 1.2842,                0.33792,                0.94439,                0.97467,                0.98719,                0.98972,                0.89346,                0.97093,                0.98334,                 0.9872,                 0.7817,                0.45223,                 1.0056,                0.26849,                0.86916,             0.00035788,             0.00035788,             0.00035788
                     74,                 0.5582,                  1.272,                 0.3342,                0.94475,                0.98134,                0.98109,                0.98975,                0.89282,                0.97772,                0.97746,                0.98721,                0.78138,                0.45142,                 1.0033,                0.26754,                0.86863,             0.00035435,             0.00035435,             0.00035435
                     75,                0.55864,                 1.2693,                0.33371,                0.94428,                0.98132,                0.98123,                0.98944,                0.89265,                 0.9777,                 0.9776,                0.98697,                0.78168,                0.45064,                 1.0007,                0.26691,                0.86805,             0.00035079,             0.00035079,             0.00035079
                     76,                0.55614,                 1.2618,                0.33202,                0.94446,                0.98033,                0.98241,                0.98952,                0.89233,                0.97561,                0.97917,                0.98683,                0.78176,                0.44978,                0.99956,                0.26609,                0.86747,             0.00034721,             0.00034721,             0.00034721
                     77,                0.55399,                 1.2614,                   0.33,                0.94277,                0.97619,                0.98688,                0.98961,                0.89341,                0.97229,                0.98289,                0.98684,                0.78193,                0.44863,                0.99844,                0.26507,                 0.8667,             0.00034361,             0.00034361,             0.00034361
                     78,                0.55134,                 1.2546,                 0.3276,                0.94041,                0.98141,                0.98053,                0.98841,                0.89433,                0.97752,                0.97613,                0.98548,                 0.7824,                0.44799,                0.99767,                0.26465,                0.86628,             0.00033999,             0.00033999,             0.00033999
                     79,                 0.5525,                 1.2574,                0.32931,                0.93991,                0.98143,                0.98087,                0.98845,                0.89451,                 0.9771,                0.97653,                0.98553,                0.78195,                0.44773,                0.99706,                0.26374,                0.86573,             0.00033634,             0.00033634,             0.00033634
                     80,                0.54346,                 1.2499,                0.32567,                0.93437,                0.98175,                0.98068,                0.98848,                0.89693,                0.97755,                 0.9765,                0.98561,                0.78228,                0.44692,                0.99568,                 0.2631,                0.86513,             0.00033267,             0.00033267,             0.00033267
                     81,                0.54822,                 1.2551,                0.32695,                0.93718,                0.98249,                0.98005,                0.98849,                0.89413,                0.97829,                0.97585,                0.98557,                0.78259,                0.44583,                0.99423,                0.26275,                0.86463,             0.00032898,             0.00032898,             0.00032898
                     82,                0.53909,                 1.2422,                0.32037,                0.93488,                0.98252,                0.97983,                0.98859,                 0.8949,                0.97831,                0.97563,                0.98558,                0.78362,                0.44484,                0.99339,                0.26177,                  0.864,             0.00032527,             0.00032527,             0.00032527
                     83,                0.54195,                  1.236,                0.32203,                0.93353,                 0.9893,                 0.9738,                0.98868,                0.89528,                0.98477,                0.96939,                0.98565,                0.78397,                0.44404,                0.99212,                0.26101,                0.86337,             0.00032155,             0.00032155,             0.00032155
                     84,                0.53794,                 1.2497,                0.32106,                0.93337,                0.98932,                0.97397,                0.98832,                0.89386,                 0.9848,                0.96955,                 0.9854,                0.78672,                0.44327,                0.99189,                0.26039,                0.86297,             0.00031781,             0.00031781,             0.00031781
                     85,                0.53228,                 1.2362,                0.31617,                0.92942,                0.98932,                0.97397,                0.98844,                0.89493,                 0.9848,                0.96956,                0.98542,                0.78667,                0.44343,                0.99076,                0.25958,                0.86259,             0.00031405,             0.00031405,             0.00031405
                     86,                0.53036,                 1.2289,                0.31519,                0.92984,                0.99168,                 0.9741,                0.98845,                0.89585,                0.98717,                0.96968,                0.98544,                0.78708,                0.44313,                0.98899,                0.25879,                0.86197,             0.00031028,             0.00031028,             0.00031028
                     87,                0.53351,                 1.2333,                0.31513,                0.93118,                0.99216,                0.97407,                0.98848,                0.89603,                0.98765,                0.96966,                0.98546,                0.78787,                0.44228,                0.98782,                0.25779,                 0.8614,             0.00030649,             0.00030649,             0.00030649
                     88,                0.53126,                 1.2334,                0.31577,                0.92904,                 0.9923,                0.97429,                0.98851,                0.89734,                0.98779,                0.96988,                 0.9855,                0.78781,                0.44186,                0.98697,                0.25668,                0.86092,             0.00030269,             0.00030269,             0.00030269
                     89,                0.52765,                 1.2248,                 0.3127,                0.92543,                0.99141,                0.97538,                0.98851,                0.89962,                0.98691,                0.97097,                0.98549,                0.78828,                0.44122,                0.98558,                0.25582,                0.86046,             0.00029888,             0.00029888,             0.00029888
                     90,                0.52206,                  1.223,                0.31018,                 0.9252,                0.99208,                0.97498,                0.98844,                0.89986,                0.98772,                0.97071,                 0.9855,                 0.7887,                0.44039,                0.98444,                0.25552,                0.85966,             0.00029505,             0.00029505,             0.00029505
                     91,                0.52792,                 1.2357,                0.31288,                0.92391,                0.99199,                0.97609,                0.98846,                0.90006,                0.98764,                0.97181,                0.98552,                0.78863,                0.43999,                0.98345,                0.25484,                 0.8591,             0.00029122,             0.00029122,             0.00029122
                     92,                0.52097,                 1.2177,                0.30913,                 0.9256,                0.99185,                 0.9775,                0.98831,                0.89962,                0.98746,                0.97306,                0.98532,                 0.7888,                0.43914,                0.98255,                0.25407,                 0.8586,             0.00028737,             0.00028737,             0.00028737
                     93,                0.51727,                 1.2152,                0.30684,                0.92355,                 0.9919,                 0.9774,                0.98855,                0.89981,                0.98746,                0.97296,                0.98553,                0.78924,                0.43859,                0.98181,                0.25377,                 0.8582,             0.00028352,             0.00028352,             0.00028352
                     94,                0.51472,                 1.2165,                0.30635,                0.91997,                0.99183,                0.97746,                0.98857,                0.89995,                0.98735,                0.97305,                0.98556,                0.79023,                0.43763,                0.98063,                 0.2533,                0.85774,             0.00027966,             0.00027966,             0.00027966
                     95,                0.51191,                 1.2047,                0.30423,                0.92223,                 0.9918,                0.97745,                0.98857,                0.90008,                0.98732,                0.97304,                0.98557,                0.78999,                0.43676,                0.97939,                0.25241,                0.85737,             0.00027579,             0.00027579,             0.00027579
                     96,                0.51483,                 1.2083,                0.30575,                0.92234,                0.99248,                0.97759,                0.98868,                0.90136,                  0.988,                0.97318,                0.98567,                0.79039,                0.43599,                0.97871,                0.25138,                0.85691,             0.00027192,             0.00027192,             0.00027192
                     97,                0.50781,                 1.2031,                0.30098,                0.92075,                 0.9923,                0.97797,                0.98867,                0.90437,                0.98789,                0.97349,                0.98565,                0.78999,                0.43541,                0.97761,                0.25073,                0.85652,             0.00026804,             0.00026804,             0.00026804
                     98,                0.50827,                 1.2012,                0.30112,                0.91524,                0.99204,                0.97825,                0.98868,                0.90437,                0.98771,                0.97398,                0.98574,                0.78996,                 0.4348,                0.97641,                0.24986,                0.85612,             0.00026416,             0.00026416,             0.00026416
                     99,                0.50809,                 1.2008,                 0.3006,                0.91536,                0.99224,                0.97827,                0.98872,                0.90425,                0.98791,                0.97399,                0.98576,                0.79052,                0.43434,                0.97512,                0.24886,                0.85572,             0.00026027,             0.00026027,             0.00026027
                    100,                0.51209,                 1.1953,                0.29978,                0.91573,                 0.9923,                0.97818,                0.98882,                0.90436,                0.98793,                0.97392,                 0.9859,                0.79082,                0.43399,                0.97433,                  0.248,                0.85547,             0.00025639,             0.00025639,             0.00025639
                    101,                0.50453,                 1.1967,                0.29797,                 0.9165,                0.99255,                0.97809,                0.98883,                0.90424,                 0.9881,                0.97367,                0.98583,                0.79165,                0.43345,                0.97413,                0.24723,                0.85509,              0.0002525,              0.0002525,              0.0002525
                    102,                0.49804,                 1.1957,                0.29517,                0.91352,                0.99276,                0.97809,                0.98885,                0.90749,                0.98837,                0.97384,                0.98598,                0.79194,                0.43315,                0.97363,                0.24655,                0.85482,             0.00024861,             0.00024861,             0.00024861
                    103,                0.50008,                 1.1951,                0.29596,                0.91309,                0.99335,                0.97755,                0.98897,                0.90806,                0.98901,                0.97328,                0.98606,                0.79161,                0.43241,                0.97318,                0.24604,                0.85444,             0.00024473,             0.00024473,             0.00024473
                    104,                0.49662,                 1.1984,                0.29392,                0.91161,                 0.9938,                0.97772,                0.98909,                0.90836,                0.98931,                0.97331,                0.98609,                0.79209,                0.43139,                0.97244,                0.24554,                 0.8539,             0.00024084,             0.00024084,             0.00024084
                    105,                0.49564,                 1.1937,                 0.2942,                0.90995,                0.99376,                 0.9778,                 0.9891,                0.91234,                0.98927,                0.97338,                 0.9861,                0.79205,                0.43046,                0.97173,                0.24421,                0.85348,             0.00023696,             0.00023696,             0.00023696
                    106,                0.49368,                 1.1889,                 0.2913,                0.91171,                0.99366,                0.97784,                0.98867,                0.91188,                 0.9891,                0.97345,                0.98566,                0.79199,                0.42993,                 0.9708,                0.24337,                0.85301,             0.00023308,             0.00023308,             0.00023308
