                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     73,                0.50114,                 1.4091,                 0.3211,                  0.901,                0.98752,                 0.9863,                0.99305,                0.93645,                0.96588,                0.96385,                0.96791,                0.66013,                0.36774,                 1.2092,                0.29022,                0.82635,               0.000137,               0.000137,               0.000137
                     74,                0.50085,                 1.3994,                0.31984,                0.89935,                0.98693,                0.98608,                0.99307,                0.93767,                0.96495,                0.96313,                0.96812,                 0.6603,                0.36681,                  1.209,                0.28823,                0.82562,              0.0001308,              0.0001308,              0.0001308
                     75,                0.49981,                 1.4022,                0.31927,                0.89895,                0.98698,                0.98588,                0.99295,                0.93786,                0.96515,                0.96367,                0.96781,                0.66038,                0.36582,                 1.2096,                0.28627,                0.82485,             0.00012469,             0.00012469,             0.00012469
                     76,                0.49751,                 1.4036,                0.31847,                0.89829,                0.98712,                0.98598,                0.99296,                0.93821,                0.96502,                0.96344,                0.96775,                0.66032,                0.36439,                 1.2099,                0.28473,                0.82408,             0.00011869,             0.00011869,             0.00011869
                     77,                0.49105,                 1.3799,                0.31459,                0.89605,                0.98703,                0.98586,                0.99297,                0.93835,                0.96444,                0.96277,                0.96763,                0.66106,                0.36325,                 1.2084,                0.28496,                0.82337,              0.0001128,              0.0001128,              0.0001128
                     78,                 0.4935,                 1.3992,                0.31511,                0.89642,                0.98573,                 0.9863,                0.99309,                0.93887,                0.96358,                0.96298,                0.96744,                0.66092,                 0.3625,                  1.209,                0.28338,                0.82268,             0.00010702,             0.00010702,             0.00010702
                     79,                0.48932,                  1.386,                0.31358,                0.89651,                0.98521,                 0.9864,                0.99311,                0.93898,                0.96577,                0.96082,                0.96728,                 0.6608,                0.36162,                 1.2095,                0.28237,                0.82205,             0.00010136,             0.00010136,             0.00010136
                     80,                0.49115,                 1.3853,                0.31358,                0.89458,                0.98499,                0.98679,                0.99311,                0.93949,                 0.9657,                0.96003,                0.96729,                0.66066,                0.36084,                 1.2081,                0.28198,                 0.8215,             9.5829e-05,             9.5829e-05,             9.5829e-05
                     81,                0.49119,                 1.3849,                0.31383,                0.89247,                0.98552,                0.98681,                0.99311,                0.93973,                0.96257,                0.96155,                0.96705,                 0.6604,                0.36014,                 1.2084,                0.28213,                0.82088,             9.0422e-05,             9.0422e-05,             9.0422e-05
                     82,                 0.4847,                 1.3838,                0.31001,                0.89356,                0.98627,                0.98631,                0.99312,                0.94005,                0.96211,                0.96089,                0.96665,                0.66067,                 0.3596,                 1.2092,                0.28231,                0.82029,             8.5147e-05,             8.5147e-05,             8.5147e-05
                     83,                0.48274,                 1.3705,                0.30956,                0.89288,                0.98701,                0.98599,                0.99314,                0.94065,                0.96282,                0.96073,                0.96715,                0.66108,                0.35862,                 1.2087,                0.28118,                0.81972,             8.0008e-05,             8.0008e-05,             8.0008e-05
                     84,                0.48295,                 1.3718,                0.30871,                0.89125,                0.98773,                0.98527,                0.99331,                0.94045,                0.96421,                 0.9621,                0.96776,                0.66126,                 0.3582,                  1.208,                0.27951,                0.81919,              7.501e-05,              7.501e-05,              7.501e-05
                     85,                0.48203,                 1.3673,                0.30822,                0.89216,                0.98855,                0.98527,                0.99331,                0.94071,                0.96547,                 0.9611,                0.96722,                0.66181,                0.35761,                  1.207,                0.27978,                0.81874,             7.0157e-05,             7.0157e-05,             7.0157e-05
                     86,                0.47907,                 1.3738,                0.30643,                0.89118,                0.99179,                0.98417,                0.99331,                0.94095,                0.96794,                0.96027,                0.96712,                0.66154,                0.35694,                 1.2065,                0.27951,                0.81819,             6.5452e-05,             6.5452e-05,             6.5452e-05
                     87,                 0.4785,                 1.3678,                0.30634,                0.88995,                0.99187,                0.98384,                0.99332,                 0.9407,                0.96793,                 0.9603,                0.96715,                0.66164,                0.35607,                 1.2053,                0.27899,                0.81764,               6.09e-05,               6.09e-05,               6.09e-05
                     88,                0.47805,                 1.3698,                0.30566,                0.88883,                0.99214,                0.98416,                0.99314,                0.94118,                0.96846,                0.96084,                0.96747,                  0.662,                0.35537,                  1.205,                0.27855,                0.81715,             5.6504e-05,             5.6504e-05,             5.6504e-05
                     89,                0.47432,                  1.364,                0.30371,                0.88776,                0.99261,                0.98434,                0.99317,                0.94152,                0.96866,                0.96085,                0.96724,                0.66258,                0.35413,                 1.2043,                0.27855,                0.81666,             5.2268e-05,             5.2268e-05,             5.2268e-05
                     90,                0.47739,                 1.3611,                0.30501,                0.88764,                 0.9919,                0.98431,                0.99316,                0.94165,                0.96822,                0.96124,                0.96761,                 0.6632,                0.35347,                 1.2039,                 0.2781,                0.81624,             4.8196e-05,             4.8196e-05,             4.8196e-05
                     91,                0.47486,                 1.3684,                0.30338,                0.88759,                0.99159,                0.98468,                0.99316,                0.94153,                0.96737,                0.96085,                  0.967,                0.66332,                0.35278,                 1.2033,                0.27769,                0.81576,              4.429e-05,              4.429e-05,              4.429e-05
                     92,                0.47063,                 1.3631,                0.30142,                0.88926,                0.99046,                0.98469,                0.99317,                0.94189,                0.96653,                0.96109,                0.96739,                0.66399,                0.35222,                 1.2027,                0.27684,                0.81532,             4.0554e-05,             4.0554e-05,             4.0554e-05
                     93,                0.47313,                 1.3547,                0.30242,                 0.8861,                0.99177,                0.98406,                0.99316,                0.94163,                0.96727,                 0.9607,                 0.9674,                0.66445,                 0.3516,                 1.2022,                0.27651,                0.81488,              3.699e-05,              3.699e-05,              3.699e-05
                     94,                 0.4723,                  1.367,                0.30177,                0.88694,                0.99173,                0.98413,                0.99319,                0.94104,                0.96724,                0.96084,                 0.9673,                0.66461,                0.35118,                 1.2018,                0.27614,                0.81454,             3.3603e-05,             3.3603e-05,             3.3603e-05
